127.0.0.1 - - [16/Jan/2024:09:16:36 +0900] "GET / HTTP/1.1" 200 36821
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /index.html HTTP/1.1" 200 36821
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /style.css HTTP/1.1" 200 21462
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /vendor.css HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /jquery-1.11.0.min.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /plugins.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /script.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /vendor.css HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /jquery-1.11.0.min.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:36 +0900] "GET /plugins.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:37 +0900] "GET /script.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:55 +0900] "GET /index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:55 +0900] "GET /vendor.css HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:55 +0900] "GET /style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:55 +0900] "GET /jquery-1.11.0.min.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:16:55 +0900] "GET /plugins.js HTTP/1.1" 404 817
